Year,Player,Country,Matches,Innings,Not_out,50s,100s,0s,Highest_score,Runs,Strike_rate,Average,Catches,Stumping
1983,"Kirmani, S M H",India,8,6,1,0,0,1,24,61,41.78,12.2,12,2
1983,"Binny, R M H",India,8,6,0,0,0,1,27,73,53.68,12.17,2,0
1983,"Hogan, T G",Australia,4,4,2,0,0,0,11,24,80.0,12.0,2,0
1983,"Pycroft, A J",Zimbabwe,6,6,0,0,0,0,21,71,40.57,11.83,3,0
1983,Sarfraz Nawaz,Pakistan,7,5,0,0,0,0,17,53,74.65,10.6,1,0
1983,"Botham, I T",England,7,4,0,0,0,1,22,40,76.92,10.0,4,0
1983,"Shastri, R J",India,5,5,1,0,0,0,17,40,57.97,10.0,3,0
1983,"Gavaskar, S M",India,6,6,0,0,0,1,25,59,49.17,9.83,3,0
1983,"Holding, M A",West Indies,7,4,0,0,0,0,20,36,67.92,9.0,3,0
1983,Rashid Khan,Pakistan,7,1,0,0,0,0,9,9,42.86,9.0,1,0
1983,"Omarshah, A H",Zimbabwe,3,3,0,0,0,0,16,26,23.85,8.67,1,0
1983,"Traicos, A J",Zimbabwe,6,4,1,0,0,0,19,25,58.14,8.33,2,0
1983,"Heron, J G",Zimbabwe,6,6,0,0,0,1,18,50,30.67,8.33,1,0
1983,"Rawson, P W E",Zimbabwe,6,4,1,0,0,1,19,24,45.28,8.0,2,0
1983,"Smith, I D S",New Zealand,2,2,1,0,0,0,4,8,114.29,8.0,1,0
1983,Wasim Raja,Pakistan,3,3,0,0,0,1,15,24,52.17,8.0,1,0
1983,"Marshall, M D",West Indies,6,3,0,0,0,0,18,24,38.1,8.0,0,0
1983,"Azad, K",India,3,2,0,0,0,1,15,15,71.43,7.5,0,0
1983,"Marks, V J",England,7,3,0,0,0,0,8,18,47.37,6.0,2,0
1983,"Lawson, G F",Australia,4,4,0,0,0,1,16,24,68.57,6.0,0,0
1983,"MacLeay, K H",Australia,4,4,0,0,0,0,9,19,67.86,4.75,1,0
1983,Mansoor Akhtar,Pakistan,2,2,0,0,0,0,6,9,19.15,4.5,0,0
1983,"Allott, P J W",England,7,3,1,0,0,1,8,8,53.33,4.0,1,0
1983,"Cairns, B L",New Zealand,6,5,0,0,0,1,6,16,66.67,3.2,3,0
1983,"Samarasekera, M A R",Sri Lanka,2,2,0,0,0,1,5,5,38.46,2.5,1,0
1983,"Thomson, J R",Australia,3,1,0,0,0,1,0,0,0.0,0.0,0,0
1983,"Willis, R G D",England,7,2,0,0,0,2,0,0,0.0,0.0,4,0
1983,"Lillee, D K",Australia,4,1,0,0,0,1,0,0,0.0,0.0,0,0
1983,"Hogg, R M",Australia,6,4,4,0,0,0,19,29,76.32,0.0,1,0
1983,"Logie, A L",West Indies,1,0,0,0,0,0,0,0,0.0,0.0,0,0
1983,Tahir Naqqash,Pakistan,1,1,1,0,0,0,0,0,0.0,0.0,1,0
1983,"Chatfield, E J",New Zealand,6,4,4,0,0,0,19,37,43.02,0.0,1,0
1983,"Cowans, N G",England,1,0,0,0,0,0,0,0,0.0,0.0,1,0
1983,"Daniel, W W",West Indies,3,1,1,0,0,0,16,16,133.33,0.0,0,0
1983,"Davis, W W",West Indies,5,1,1,0,0,0,0,0,0.0,0.0,0,0
